# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	14636
#@/user_id	ab1a0a9a-848f-4c46-9606-7e4acefc5a43
a 	啊	c=113 d=3.14348 t=14600
mei tian 	每天	c=2 d=1.9802 t=11051
mei ting guo 	沒聽過	c=1 d=1 t=11407
mei tong guo 	沒通過	c=1 d=1 t=9941
mei wan guo 	沒玩過	c=1 d=1 t=5104
mei wen ti 	沒問題	c=3 d=1.99005 t=10730
mei wen ti de 	沒問題的	c=1 d=1 t=3503
mei xiang 	沒想	c=1 d=1 t=12167
mei xiang dao 	沒想到	c=2 d=1 t=11454
mei xing qu 	沒興趣	c=1 d=1 t=11433
mei yan 	美顏	c=1 d=1 t=13372
mei yao 	媚藥	c=1 d=1 t=12863
mei yong 	沒用	c=2 d=1 t=12212
mei you 	沒有	c=37 d=1.00185 t=14305
mei you duo shao 	沒有多少	c=1 d=1 t=4617
mei you shen me 	沒有什麼	c=1 d=1 t=3264
mei you shi xian 	沒有實現	c=1 d=1 t=9057
mei yuan 	美元	c=1 d=1 t=2465
mei zai 	沒在	c=2 d=1 t=12649
mei zhao dao 	沒找到	c=1 d=1 t=10399
mei zhu yi kan 	沒注意看	c=1 d=1 t=14408
mei zi 	妹子	c=2 d=1.99501 t=9482
mei zou 	沒走	c=0 d=0.1 t=14547
mei zou ne 	沒走呢	c=1 d=1 t=14548
men 	們	c=5 d=1.11304 t=14074
men 	門	c=1 d=1 t=14556
men kou 	門口	c=1 d=1 t=14457
men zhe 	悶着	c=1 d=1 t=9173
meng 	夢	c=1 d=1 t=3585
meng 	懵	c=3 d=1.09015 t=8807
meng 	猛	c=2 d=1 t=13270
meng 	萌	c=3 d=1.97906 t=11330
meng dao di 	懵到底	c=1 d=1 t=8808
meng le 	蒙了	c=2 d=1.01208 t=7903
meng le ba 	蒙了吧	c=1 d=1 t=7035
meng ma 	猛獁	c=1 d=1 t=4727
mi 	咪	c=1 d=1 t=7880
mi 	密	c=1 d=1 t=2877
mi 	迷	c=1 d=1 t=4378
mi ao 	祕奧	c=0 d=0.1 t=3462
mi ao ma 	祕奧嗎	c=2 d=0.100002 t=11220
mi ao ma guan li 	祕奧嗎管理	c=1 d=1 t=8850
mi die xiang 	迷迭香	c=1 d=1 t=11352
mi ma 	密碼	c=48 d=3.75467 t=13163
mi ma guan li 	密碼管理	c=4 d=1.00783 t=12709
mi ma guan li ping tai 	密碼管理平臺	c=4 d=1 t=11882
mi ma guan li qi 	密碼管理器	c=5 d=1.01897 t=8863
mi mang 	迷茫	c=1 d=1 t=7418
mi mi 	祕密	c=1 d=1 t=12728
mi na 	米納	c=0 d=0.100008 t=8594
mian 	免	c=1 d=1 t=12990
mian 	眠	c=1 d=1 t=3571
mian 	面	c=1 d=1 t=11144
mian 	麪	c=7 d=0.557858 t=9939
mian fei 	免費	c=2 d=1.6157 t=424
mian fei ban 	免費版	c=1 d=1 t=359
mian fei shi yong 	免費使用	c=1 d=1 t=192
mian guo le 	麪過了	c=1 d=1 t=9940
mian shi 	面試	c=17 d=1.72055 t=9850
mian shi liu cheng 	面試流程	c=1 d=1 t=5992
mian shi qian 	面試前	c=1 d=1 t=6507
mian shi ti 	面試題	c=3 d=1.46533 t=9601
miao 	秒	c=1 d=1 t=14009
miao 	苗	c=3 d=2.85086 t=13596
miao kong 	秒控	c=1 d=1 t=14040
miao miao 	苗苗	c=2 d=1.02066 t=7710
miao shu 	描述	c=7 d=1 t=14431
mie 	滅	c=1 d=1 t=5165
mie jin 	滅盡	c=0 d=0.1 t=6416
mie jin long 	滅盡龍	c=1 d=1 t=6417
min 	民	c=5 d=1.12956 t=12425
min zhu guo jia 	民主國家	c=1 d=1 t=9550
ming 	冥	c=10 d=2.657 t=3858
ming 	名	c=2 d=1 t=9394
ming 	明	c=2 d=1.011 t=13774
ming cheng 	名稱	c=1 d=1 t=9930
ming hou 	明後	c=1 d=1 t=14604
ming jie 	冥界	c=1 d=1 t=5547
ming ling 	命令	c=2 d=1 t=11205
ming ling hang 	命令行	c=2 d=1 t=14485
ming shui 	明水	c=3 d=1 t=13704
ming shui xi na 	明水吸納	c=1 d=1 t=10515
ming shui xian 	明水縣	c=9 d=1.90252 t=13731
ming tian 	明天	c=5 d=1 t=13847
ming tian shang wu 	明天上午	c=1 d=1 t=3171
ming wang 	冥王	c=1 d=1 t=5545
ming zao 	明早	c=1 d=1 t=3447
ming zhen tan 	名偵探	c=1 d=1 t=4984
ming zi 	名字	c=2 d=1 t=10603
mo 	墨	c=9 d=6.27714 t=6177
mo 	摸	c=1 d=1 t=9716
mo 	魔	c=3 d=2.90331 t=2805
mo ban 	模板	c=3 d=1 t=11651
mo dao 	墨刀	c=8 d=3.74725 t=6520
mo fa shi 	魔法師	c=1 d=1 t=4646
mo kuai 	模塊	c=11 d=1.09854 t=12917
mo kuai tu 	模塊圖	c=1 d=1 t=8031
mo ming qi miao 	莫名其妙	c=1 d=1 t=10097
mo mo 	脈脈	c=2 d=0.1 t=10590
mo mo nian 	脈脈年	c=1 d=1 t=10591
mo ni qi 	模擬器	c=2 d=1.99501 t=6720
mo qu 	抹去	c=1 d=1 t=6809
mo ren 	默認	c=5 d=1.00031 t=12738
mo ren wei 	默認爲	c=1 d=1 t=2671
mo tuo 	摩托	c=1 d=1 t=1951
mo wei 	末尾	c=1 d=1 t=1432
mo xing 	魔性	c=2 d=1 t=8374
mou 	某	c=1 d=1 t=7936
mou mou 	某某	c=2 d=1.97045 t=10598
mou xie 	某些	c=2 d=1 t=12845
mu 	木	c=0 d=0.1 t=1940
mu 	母	c=1 d=1 t=13727
mu da 	木大	c=1 d=1 t=3412
mu di 	目的	c=2 d=1 t=8262
mu lu 	目錄	c=6 d=1.34473 t=14228
mu men 	木門	c=0 d=0.1 t=11915
mu ni 	穆尼	c=1 d=1 t=2069
na 	哪	c=9 d=1.06023 t=13947
na 	拿	c=3 d=1.00202 t=8949
na 	那	c=25 d=1.03621 t=14612
na bian 	那邊	c=5 d=1.11977 t=11095
na bu 	那不	c=1 d=1 t=8823
na bu 	那部	c=1 d=1 t=6606
na dao 	拿到	c=1 d=1 t=14399
na duan 	那段	c=1 d=1 t=5537
na fan 	拿飯	c=1 d=1 t=14529
na ge 	哪個	c=11 d=1.20048 t=14345
na ge 	那個	c=35 d=1.14553 t=14617
na ji zhong 	哪幾種	c=1 d=1 t=1587
na jiu 	那就	c=5 d=1.00003 t=11074
na jiu shi 	那就是	c=1 d=1 t=10138
na kuai 	那塊	c=1 d=1 t=7744
na le 	拿了	c=1 d=0.1 t=9427
na li 	哪裏	c=6 d=1 t=12298
na li 	那裏	c=2 d=1 t=13002
na ma 	拿嗎	c=1 d=1 t=3851
na me 	那麼	c=2 d=1 t=10674
na me duo 	那麼多	c=0 d=0.1 t=2888
na me kuai 	那麼快	c=1 d=1 t=1952
na ni 	納尼	c=1 d=1 t=10199
na ni 	那你	c=0 d=0.1 t=10199
na ni hai 	那你還	c=1 d=1 t=10200
na nian 	那年	c=1 d=1 t=5531
na qu 	哪去	c=1 d=1 t=8831
na qu le 	哪去了	c=1 d=1 t=4995
na shi 	那是	c=1 d=1 t=11520
na shi wo 	那是我	c=1 d=1 t=2096
na ta 	那他	c=1 d=1 t=11763
na tian 	哪天	c=1 d=1 t=125
na tian 	那天	c=2 d=1 t=14454
na tiao 	那條	c=1 d=1 t=7630
na wo 	那我	c=4 d=1 t=14591
na xia lai 	拿下來	c=0 d=0.1 t=2031
na xia lai le 	拿下來了	c=1 d=1 t=2032
na xie 	哪些	c=1 d=1 t=6691
na xie 	那些	c=4 d=1.92312 t=12951
na xie dong xi 	哪些東西	c=1 d=1 t=5203
na yi 	哪一	c=1 d=1 t=4786
na yi 	那一	c=1 d=0.1 t=13534
na yi qi 	哪一期	c=2 d=1.94649 t=2606
na yi ye 	那一也	c=1 d=1 t=13535
na you 	哪有	c=1 d=1 t=9434
na zan 	那咱	c=0 d=0.1 t=2329
na zan me 	那咱麼	c=1 d=1 t=2330
na zhe 	拿着	c=2 d=1 t=12189
nai 	乃	c=1 d=1 t=4563
nai 	奶	c=2 d=1.98511 t=3671
nai 	耐	c=1 d=1 t=4564
nai chong 	耐衝	c=2 d=1.99005 t=5082
nai de zhu 	耐得住	c=1 d=1 t=7441
nai he 	奈何	c=1 d=1 t=13283
nai xin 	耐心	c=0 d=0.1 t=10339
nai xin dian 	耐心點	c=2 d=1.83946 t=10375
nai xing 	耐性	c=1 d=1 t=4689
nan 	南	c=8 d=4.39713 t=13655
nan 	男	c=2 d=1 t=11019
nan 	難	c=2 d=1.99501 t=7366
nan du 	難度	c=1 d=1 t=551
nan hai 	男孩	c=0 d=0.1 t=4158
nan nv 	男女	c=1 d=1 t=10361
nan sheng 	男生	c=1 d=1 t=6759
nan shou 	難受	c=1 d=1 t=9017
nan ti 	難題	c=1 d=1 t=8766
nao gua zi 	腦瓜子	c=1 d=1 t=5488
nao hai 	腦海	c=1 d=1 t=5541
nao ting 	鬧挺	c=1 d=1 t=13099
ne 	呢	c=16 d=2.24018 t=14603
ne ge 	呢個	c=0 d=0.1 t=8134
nei 	內	c=2 d=1 t=12831
nei bu 	內部	c=2 d=1.20909 t=8143
nei cun 	內存	c=3 d=1 t=12493
nei rong 	內容	c=10 d=2.07677 t=12842
nei tui 	內推	c=2 d=1.62189 t=6389
nei xin 	內心	c=1 d=1 t=6782
nei zheng 	內政	c=1 d=1 t=11962
neng 	能	c=19 d=1.00075 t=14558
neng bu neng 	能不能	c=1 d=1 t=6231
neng chu 	能出	c=1 d=1 t=6878
neng dao 	能到	c=1 d=1 t=7780
neng fou 	能否	c=1 d=1 t=13848
neng gei 	能給	c=0 d=0.1 t=1820
neng guo 	能過	c=1 d=1 t=126
neng ji cheng 	能繼承	c=1 d=1 t=4779
neng jin 	能進	c=1 d=1 t=8496
neng jin ma 	能進嗎	c=1 d=1 t=3204
neng li 	能力	c=4 d=1.2334 t=6257
neng yong 	能用	c=0 d=0.1 t=71
neng yong ma 	能用嗎	c=2 d=1 t=4077
neng you 	能有	c=0 d=0.1 t=651
neng you duo shao shou ru 	能有多少收入	c=1 d=1 t=652
ni 	你	c=52 d=1.77615 t=14550
ni ba ni 	你把你	c=1 d=1 t=11422
ni bi 	你比	c=1 d=1 t=3184
ni bie 	你別	c=1 d=1 t=10338
ni de 	你的	c=6 d=1.03633 t=11637
ni dou 	你都	c=1 d=1 t=13949
ni er zi 	你兒子	c=1 d=1 t=4834
ni gan ma 	你幹嘛	c=1 d=1 t=8558
ni gan sha 	你幹啥	c=1 d=1 t=8091
ni guo lai 	你過來	c=1 d=1 t=11140
ni hao 	你好	c=10 d=1.81924 t=14629
ni hui qu le ma 	你回去了媽	c=1 d=1 t=14546
ni ji zhu 	你記住	c=0 d=0.1 t=10197
ni ji zhu le ma 	你記住了嗎	c=1 d=1 t=10198
ni jin tian 	你今天	c=1 d=1 t=3393
ni jiu 	你就	c=1 d=1 t=9302
ni jiu bu neng 	你就不能	c=1 d=1 t=11126
ni kan 	你看	c=0 d=0.1 t=3202
ni kan zhe ge 	你看這個	c=1 d=1 t=3203
ni ke yi 	你可以	c=2 d=1 t=7460
ni le 	膩了	c=1 d=1 t=10496
ni ma 	尼瑪	c=2 d=1.86585 t=11519
ni ma de 	你媽的	c=2 d=1.00222 t=3179
ni men 	你們	c=2 d=1 t=12284
ni ming 	匿名	c=1 d=1 t=1614
ni neng 	你能	c=1 d=1 t=7104
ni qu 	你去	c=1 d=1 t=13421
ni rang ta 	你讓他	c=1 d=1 t=5649
ni shi 	你是	c=3 d=0.100001 t=6213
ni shi bu shi 	你是不是	c=2 d=1 t=10876
ni shi ge 	你是個	c=1 d=1 t=11138
ni shi jian le 	你是剪了	c=1 d=1 t=6214
ni shi yao 	你是要	c=3 d=2.8426 t=632
ni shuo 	你說	c=1 d=0.584325 t=14600
ni shuo shan e 	你說善惡	c=1 d=1 t=14601
ni wei shen me 	你爲什麼	c=1 d=1 t=2077
ni xian 	你先	c=2 d=1 t=7605
ni yao 	你要	c=1 d=1 t=3872
ni yao shi 	你要是	c=2 d=1 t=7689
ni yi wei 	你以爲	c=0 d=0.1 t=12210
ni yi wei ne 	你以爲呢	c=1 d=1 t=12211
ni yi xia 	你以下	c=1 d=1 t=12558
ni ying gai 	你應該	c=1 d=1 t=1775
ni yong 	你用	c=2 d=1.32628 t=3338
ni zai 	你在	c=0 d=0.1 t=6510
ni zhe 	你這	c=3 d=2.06427 t=8985
ni zhe 	逆着	c=1 d=1 t=8548
ni zhe ge 	你這個	c=1 d=1 t=11747
ni zhe ge wen ti 	你這個問題	c=1 d=1 t=12294
ni zhe shi 	你這是	c=1 d=1 t=3863
ni zhi hui 	你只會	c=1 d=1 t=3972
ni zhi jie 	你直接	c=1 d=1 t=6963
ni zhi shi 	你只是	c=1 d=1 t=14069
ni zhuan 	逆轉	c=1 d=1 t=9821
nian 	唸	c=1 d=1 t=11966
nian 	年	c=27 d=1.29853 t=13962
nian 	粘	c=2 d=1.6157 t=2648
nian ling 	年齡	c=1 d=1 t=6756
nian qian 	年前	c=1 d=1 t=2578
nian zhong 	年終	c=1 d=1 t=12033
niao 	鳥	c=1 d=1 t=4374
nie lian 	捏連	c=1 d=1 t=3000
nin 	您	c=15 d=1.06248 t=13799
nin de 	您的	c=1 d=1 t=3403
nin hao 	您好	c=5 d=3.28147 t=7335
ning 	寧	c=1 d=1 t=5841
niu 	牛	c=3 d=1.00009 t=12296
niu ke 	牛客	c=26 d=1 t=13750
niu ke wang 	牛客網	c=7 d=1.01246 t=10470
niu lin cong 	牛林聰	c=1 d=1 t=10889
niu rou 	牛肉	c=1 d=1 t=10103
niu zai 	牛仔	c=2 d=1.92774 t=4418
niu zai ku 	牛仔褲	c=1 d=1 t=9691
nong 	弄	c=7 d=1.00868 t=13543
nong chang 	農場	c=1 d=1 t=4397
nong cun 	農村	c=2 d=1.97045 t=13420
nong ge 	弄個	c=1 d=1 t=11155
nong guo 	弄過	c=1 d=1 t=766
nong hao 	弄好	c=1 d=1 t=13217
nong le 	弄了	c=1 d=1 t=13553
nu 	努	c=1 d=1 t=2781
nu 	弩	c=9 d=1.01906 t=4989
nuan se 	暖色	c=1 d=1 t=13481
nuo 	諾	c=2 d=1.99005 t=10716
nv 	女	c=3 d=1 t=11306
nv jiao shi 	女教師	c=3 d=1.89137 t=11333
nv lang 	女郎	c=1 d=1 t=2124
nv liu 	女流	c=2 d=1.99005 t=2127
nv peng 	女碰	c=1 d=1 t=6780
nv shen 	女神	c=2 d=1.956 t=4129
nv sheng 	女生	c=1 d=1 t=6757
nv you 	女友	c=1 d=1 t=4296
o 	哦	c=2 d=1 t=9874
o pen 	哦噴	c=1 d=1 t=8932
ou mei 	歐美	c=2 d=1.96561 t=10718
ou ran 	偶然	c=1 d=1 t=3906
pa 	怕	c=4 d=1 t=13037
pa 	爬	c=3 d=1 t=10722
pa chong 	爬蟲	c=1 d=1 t=1899
pai 	拍	c=1 d=1 t=3118
pai 	派	c=3 d=1 t=13919
pai ban 	排版	c=1 d=1 t=8456
pai dui 	排隊	c=1 d=1 t=4162
pai sheng 	派生	c=2 d=1.99005 t=4371
pai xu 	排序	c=15 d=1 t=6505
pai xu hou 	排序後	c=1 d=1 t=1273
pai xu suan fa 	排序算法	c=2 d=1.54607 t=1588
pan 	盤	c=1 d=1 t=8848
pan ding 	判定	c=0 d=0.1 t=5692
pan ding qu 	判定區	c=1 d=1 t=5693
pan duan 	判斷	c=15 d=1.3027 t=13648
pan duan wan 	判斷完	c=1 d=1 t=8035
pang bian 	旁邊	c=0 d=0.1 t=9492
pang bian shui jiao 	旁邊睡覺	c=1 d=1 t=9493
pang ting 	旁聽	c=2 d=1.05156 t=8608
pang tong 	龐統	c=1 d=1 t=13284
pang tou 	胖頭	c=1 d=1 t=9451
pao 	炮	c=2 d=0.1 t=11220
pao bu 	跑步	c=1 d=1 t=1325
pao le 	泡了	c=1 d=1 t=1871
pao mi ao ma 	炮祕奧嗎	c=1 d=1 t=11221
pao mian 	泡麪	c=1 d=1 t=11222
pao qi 	拋棄	c=1 d=1 t=8133
pao qi lai 	跑起來	c=1 d=1 t=4881
pei 	配	c=5 d=1.42237 t=11548
pei 	陪	c=1 d=1 t=7242
pei chu lai 	配出來	c=1 d=1 t=10408
pei he 	配合	c=1 d=1 t=1747
pei se 	配色	c=1 d=1 t=9
pei xin 	配信	c=1 d=1 t=4307
pei xun 	培訓	c=0 d=0.1 t=1483
pei zhi 	配置	c=8 d=1 t=14490
pei zhi hao 	配置好	c=1 d=1 t=10093
pei zhi le 	配置了	c=1 d=1 t=719
pei zhi wen jian 	配置文件	c=4 d=1 t=14014
pei zhi wen jian zhong 	配置文件中	c=1 d=1 t=717
pei zhuang 	配裝	c=11 d=1.42419 t=4943
pen 	噴	c=3 d=1.00708 t=6631
pen chu lai 	噴出來	c=1 d=1 t=11246
pen she 	噴射	c=2 d=1.99005 t=4202
peng dao 	碰到	c=0 d=0.1 t=4471
peng dao guo 	碰到過	c=1 d=1 t=14248
peng you 	朋友	c=1 d=1 t=6781
pi 	屁	c=6 d=1.0319 t=11340
pi 	批	c=2 d=1.00202 t=8936
pi 	皮	c=1 d=1 t=4451
pi gu 	屁股	c=1 d=1 t=12811
pi pei 	匹配	c=2 d=1.00007 t=7581
pi shi 	屁事	c=1 d=1 t=2890
pi zhu 	批註	c=3 d=1 t=7691
pian 	片	c=3 d=2.62274 t=3672
pian shou 	片手	c=19 d=1.00176 t=6419
piao 	票	c=1 d=1 t=4544
piao ju 	票據	c=1 d=1 t=2778
piao liang 	漂亮	c=2 d=1 t=9934
pin 	品	c=4 d=1.98511 t=9617
pin 	拼	c=2 d=1 t=12803
pin jie 	拼接	c=1 d=1 t=544
pin kun 	貧困	c=1 d=1 t=6715
pin you tan 	貧鈾彈	c=0 d=0.1 t=7959
pin you tan hong 	貧鈾彈鴻	c=1 d=1 t=7960
ping 	平	c=1 d=1 t=10520
ping 	萍	c=2 d=1.00002 t=13726
ping ce 	評測	c=2 d=1.00905 t=4977
ping fang 	平方	c=2 d=1.04372 t=8519
ping guo 	蘋果	c=2 d=1.956 t=1341
ping heng 	平衡	c=1 d=1 t=12310
ping jun 	平均	c=1 d=1 t=1137
ping lun 	評論	c=4 d=1 t=5639
ping lun xi tong 	評論系統	c=1 d=1 t=641
ping pu 	平鋪	c=1 d=1 t=5255
ping tai 	平臺	c=18 d=2.67689 t=13165
ping yue 	評閱	c=2 d=1.73345 t=11920
po huai 	破壞	c=1 d=1 t=1153
po huan 	破換	c=1 d=1 t=1151
po jie 	破解	c=11 d=1 t=8683
po shi 	破事	c=2 d=1.08629 t=10966
po yu 	迫於	c=1 d=1 t=2006
pu 	撲	c=1 d=1 t=1052
pu bian 	普遍	c=1 d=1 t=8175
pu tong 	普通	c=2 d=1.0091 t=5473
qi 	其	c=1 d=1 t=14511
qi 	器	c=4 d=1 t=12721
qi 	期	c=1 d=1 t=12989
qi 	琪	c=3 d=1.00345 t=13221
qi 	起	c=1 d=1 t=10670
qi bu shi 	豈不是	c=1 d=1 t=12287
qi cheng 	騎乘	c=1 d=1 t=4840
qi ci 	其次	c=1 d=1 t=1504
qi dai 	期待	c=1 d=1 t=13304
qi dao 	起到	c=2 d=1.32792 t=8488
qi dong 	啓動	c=3 d=1 t=13374
qi fei 	起飛	c=3 d=1.21762 t=9826
qi guai 	奇怪	c=1 d=1 t=7792
qi hou 	其後	c=1 d=1 t=5675
qi ji 	七級	c=2 d=1.98511 t=3808
qi kan 	期刊	c=2 d=1.96079 t=2960
qi lin 	麒麟	c=1 d=1 t=2762
qi qi ha er 	齊齊哈爾	c=1 d=1 t=11287
qi ren 	奇人	c=1 d=1 t=11466
qi shi 	其實	c=2 d=1 t=13278
qi si wo le 	氣死我了	c=1 d=1 t=4481
qi ta 	其他	c=11 d=1.09926 t=14013
qi ti 	氣體	c=1 d=1 t=6092
qi wang 	期望	c=0 d=0.1 t=9580
qi wang xin zi 	期望薪資	c=1 d=1 t=9581
qi ye 	企業	c=5 d=1.08614 t=14500
qi yu 	其餘	c=1 d=1 t=1292
qi zhong 	其中	c=2 d=1 t=8148
qi zi 	妻子	c=1 d=1 t=5536
qian 	前	c=6 d=1.00001 t=14525
qian 	簽	c=4 d=1.19889 t=14458
qian 	錢	c=3 d=1 t=12804
qian duan 	前端	c=4 d=1.00001 t=8288
qian hou 	前後	c=1 d=1 t=13218
qian le 	簽了	c=1 d=1 t=14194
qian mian 	前面	c=1 d=1 t=9231
qian mian de 	前面的	c=1 d=1 t=7688
qian ming 	簽名	c=1 d=1 t=12579
qian ru 	嵌入	c=1 d=1 t=5523
qian ru 	潛入	c=1 d=1 t=9531
qian tao 	嵌套	c=1 d=1 t=14062
qian tao 	潛逃	c=1 d=1 t=14061
qian xian 	前線	c=0 d=0.1 t=7999
qian yi 	遷移	c=1 d=1 t=14448
qian yi ge 	前一個	c=1 d=1 t=1390
qian zhi 	前置	c=2 d=1.99005 t=1375
qiang 	強	c=5 d=1.00041 t=8309
qiang 	牆	c=1 d=1 t=8645
qiang du 	強度	c=4 d=1.8528 t=5317
qiang jian 	強姦	c=1 d=1 t=9713
qiang lie de 	強烈的	c=1 d=1 t=5803
qiang shu 	槍術	c=1 d=1 t=1061
qiang wei 	薔薇	c=2 d=1.92312 t=1656
qiang xi 	強襲	c=1 d=1 t=4832
qiang zhi 	強制	c=2 d=1.00006 t=8511
qiao 	敲	c=1 d=1 t=10085
qiao 	橋	c=1 d=1 t=1958
qiao men 	敲門	c=2 d=1.98511 t=13766
qie 	且	c=3 d=1 t=8454
qie 	切	c=4 d=1.99501 t=8453
qie huan 	切換	c=2 d=1 t=6538
qie pian 	切片	c=2 d=1 t=5909
qin fen 	勤奮	c=0 d=0.1 t=11281
qin gong jian xue 	勤工儉學	c=2 d=1.91393 t=5833
qin lve zhe 	侵略者	c=1 d=1 t=5296
qin zi 	親自	c=2 d=1.0005 t=2115
qing 	請	c=2 d=1 t=9035
qing 	青	c=1 d=1 t=4367
qing cha shou 	請查收	c=3 d=1.00928 t=7354
qing chu 	清除	c=1 d=1 t=615
qing chun 	清純	c=2 d=1 t=11327
qing chun 	青春	c=2 d=0.1 t=9448
qing chun you ni 	青春有你	c=1 d=1 t=9449
qing dan 	清單	c=1 d=1 t=2131
qing jiao 	請教	c=1 d=1 t=5947
qing kuai 	輕快	c=0 d=0.1 t=10837
qing kuang 	情況	c=7 d=0.100024 t=14533
qing kuang xia 	情況下	c=2 d=1 t=6445
qing kuang zheng chang 	情況正常	c=1 d=1 t=14534
qing liang 	輕量	c=5 d=1.91851 t=12504
qing liang ji 	輕量級	c=1 d=1 t=6249
qing long 	青龍	c=0 d=0.1 t=12148
qing long yan yue 	青龍偃月	c=1 d=1 t=12149
qing ni 	請你	c=0 d=0.1 t=11141
qing ni chi 	請你喫	c=1 d=1 t=11142
qing nin 	請您	c=3 d=2.64093 t=7325
qing nu 	輕弩	c=4 d=1.96809 t=3542
qing qiu 	請求	c=9 d=1.99127 t=8255
qing su 	傾訴	c=1 d=1 t=6600
qing wei 	輕微	c=1 d=1 t=972
qing wen 	請問	c=1 d=1 t=5633
qing wo 	請我	c=0 d=0.1 t=9292
qing wo chi fan 	請我喫飯	c=1 d=1 t=9293
qing xi 	清晰	c=2 d=1.00001 t=13523
qing xi 	清溪	c=1 d=1 t=13659
qiu 	球	c=1 d=1 t=4274
qiu yu 	秋雨	c=1 d=1 t=14615
qu 	區	c=7 d=1.00042 t=13319
qu 	去	c=9 d=1.00013 t=11658
qu 	取	c=4 d=1.31319 t=7459
qu ba 	去吧	c=0 d=0.1 t=13342
qu bie 	區別	c=19 d=1.16719 t=14003
qu diao 	去掉	c=6 d=1 t=14027
qu dong 	驅動	c=5 d=1 t=11190
qu dong jing ling 	驅動精靈	c=1 d=1 t=8004
qu guang gao 	去廣告	c=1 d=1 t=2652
qu le 	去了	c=2 d=1 t=13945
qu qu 	區區	c=1 d=1 t=11106
qu sha le ta 	去殺了他	c=1 d=1 t=1948
qu xia 	取下	c=0 d=0.1 t=10414
qu xiao 	取消	c=1 d=1 t=12020
quan 	全	c=17 d=2.28375 t=12551
quan 	勸	c=1 d=1 t=4326
quan 	圈	c=2 d=1 t=9832
quan 	權	c=2 d=1 t=14071
quan bu 	全部	c=4 d=1 t=5694
quan dao ju 	全道具	c=1 d=1 t=1049
quan du 	全都	c=1 d=1 t=1197
quan guo 	全國	c=2 d=1 t=13630
quan ju 	全局	c=2 d=0.1 t=14299
quan ju bian liang 	全局變量	c=1 d=1 t=14300
quan mian 	全面	c=1 d=1 t=12726
quan ming xing 	全明星	c=3 d=2.92688 t=4228
quan ping 	全屏	c=1 d=1 t=5054
quan ping tai 	全平臺	c=3 d=1.00127 t=1718
quan shi 	全市	c=1 d=1 t=9431
quan ti 	全題	c=1 d=1 t=1617
quan xian 	權限	c=2 d=1 t=10766
quan xin 	全新	c=1 d=1 t=8632
quan yuan 	全員	c=1 d=1 t=3898
que 	卻	c=1 d=1 t=6789
que bao 	確保	c=1 d=1 t=230
que bie 	卻別	c=1 d=1 t=1911
que dian 	缺點	c=4 d=3.46248 t=395
que ding 	確定	c=6 d=1.0513 t=12622
que ren 	確認	c=2 d=0.1 t=10562
que ren wu wu 	確認嗚嗚	c=1 d=1 t=10563
que shi 	確實	c=9 d=1.01372 t=13688
que shi hen 	確實很	c=1 d=1 t=11485
qun 	羣	c=1 d=1 t=9520
qun hao 	羣號	c=1 d=1 t=9381
qun li 	羣裏	c=1 d=1 t=14211
qun ming 	羣名	c=1 d=1 t=9517
qun zhong 	羣衆	c=2 d=1.5975 t=10260
qun zi 	裙子	c=1 d=1 t=4404
ran 	冉	c=1 d=1 t=5291
ran 	然	c=1 d=1 t=2479
ran hou 	然後	c=16 d=1.0013 t=11365
rang 	讓	c=8 d=1.00103 t=10686
rang ni 	讓你	c=2 d=1 t=11912
rang ta 	讓他	c=1 d=0.168907 t=5648
rang ta 	讓她	c=2 d=1.00001 t=12062
rang ta 	讓它	c=1 d=1 t=7956
rang wo 	讓我	c=4 d=1 t=14583
rang wo men 	讓我們	c=1 d=1 t=1972
rao 	繞	c=1 d=1 t=6996
re 	熱	c=3 d=1.97045 t=5620
re ai 	熱愛	c=0 d=0.1 t=13374
ren 	人	c=9 d=1.01955 t=12963
ren 	仁	c=2 d=1.50916 t=10346
ren bie 	人別	c=1 d=1 t=6572
ren cai 	人才	c=2 d=1.0001 t=13276
ren cai shi chang 	人才市場	c=1 d=1 t=14146
ren jia 	人家	c=1 d=1 t=12292
ren ke 	認可	c=1 d=1 t=353
ren li 	人力	c=1 d=1 t=9998
ren lian 	人臉	c=1 d=1 t=14476
ren men 	人們	c=1 d=1 t=8103
ren ming 	人名	c=1 d=1 t=12295
ren ren 	人人	c=1 d=1 t=6079
ren shi 	認識	c=1 d=1 t=9300
ren tian tang 	任天堂	c=3 d=2.92688 t=4227
ren wu 	人物	c=3 d=1 t=13475
ren wu 	任務	c=18 d=1.00022 t=13474
ren wu le 	任務了	c=1 d=1 t=3131
ren wu mei guo ma 	任務沒過嗎	c=1 d=1 t=3507
ren wu shi 	任務是	c=1 d=1 t=2292
ren wu shu 	任務書	c=2 d=1 t=11792
ren xin 	人心	c=1 d=1 t=12311
ren yi 	任意	c=0 d=0.1 t=1960
ren yi dui 	任意對	c=1 d=1 t=1961
ren yuan 	人員	c=1 d=1 t=8398
ren zhen 	認真	c=1 d=1 t=2109
ri 	日	c=8 d=3.90878 t=12688
ri ban 	日版	c=1 d=1 t=5023
ri ben 	日本	c=1 d=1 t=4297
ri chang 	日常	c=3 d=1 t=11052
ri chang shi yong 	日常使用	c=1 d=1 t=985
